"filename", "language", "Python", "Ini", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\joshu\OneDrive\Desktop\simplycomply\app.py", "Python", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\__init__.py", "Python", 45, 0, 0, 0, 0, 12, 19, 76
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\admin.py", "Python", 68, 0, 0, 0, 0, 8, 14, 90
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\auth.py", "Python", 69, 0, 0, 0, 0, 6, 15, 90
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\extensions.py", "Python", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\functions.py", "Python", 34, 0, 0, 0, 0, 3, 5, 42
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\models.py", "Python", 87, 0, 0, 0, 0, 37, 17, 141
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\index.js", "JavaScript", 0, 0, 0, 0, 39, 6, 7, 52
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles.css", "CSS", 0, 0, 0, 9, 0, 2, 2, 13
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_restaurant.html", "HTML", 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_user.html", "HTML", 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\admin_panel.html", "HTML", 0, 0, 71, 0, 0, 2, 7, 80
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\base.html", "HTML", 0, 0, 104, 0, 0, 1, 3, 108
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\confirm_mail.html", "HTML", 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create_restaurant.html", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\dashboard.html", "HTML", 0, 0, 43, 0, 0, 3, 5, 51
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\index.html", "HTML", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\login.html", "HTML", 0, 0, 32, 0, 0, 4, 3, 39
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\pricing.html", "HTML", 0, 0, 67, 0, 0, 3, 6, 76
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\profile.html", "HTML", 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\register.html", "HTML", 0, 0, 49, 0, 0, 7, 6, 62
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\upload.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 53
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views.py", "Python", 130, 0, 0, 0, 0, 24, 40, 194
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\alembic.ini", "Ini", 0, 38, 0, 0, 0, 0, 13, 51
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\env.py", "Python", 66, 0, 0, 0, 0, 17, 31, 114
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\0e1dd1394b7e_.py", "Python", 35, 0, 0, 0, 0, 5, 11, 51
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\b66d816ad2c2_.py", "Python", 25, 0, 0, 0, 0, 5, 11, 41
"Total", "-", 567, 38, 545, 9, 39, 145, 233, 1576
