"filename", "language", "JSON", "pip requirements", "Python", "HTML", "JavaScript", "SCSS", "CSS", "Ini", "comment", "blank", "total"
"c:\Users\joshu\OneDrive\Desktop\simplycomply\app.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\__init__.py", "Python", 0, 0, 96, 0, 0, 0, 0, 0, 24, 36, 156
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\const.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\extensions.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\functions.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 3, 15, 83
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\models.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 7, 25, 170
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\index.js", "JavaScript", 0, 0, 0, 0, 95, 0, 0, 0, 10, 14, 119
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\app\admin.scss", "SCSS", 0, 0, 0, 0, 0, 228, 0, 0, 2, 43, 273
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\app\dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 180, 0, 0, 0, 34, 214
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\app\generate-report.scss", "SCSS", 0, 0, 0, 0, 0, 93, 0, 0, 2, 17, 112
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\app\templates.scss", "SCSS", 0, 0, 0, 0, 0, 108, 0, 0, 0, 18, 126
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\auth.scss", "SCSS", 0, 0, 0, 0, 0, 98, 0, 0, 3, 17, 118
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\footer.scss", "SCSS", 0, 0, 0, 0, 0, 86, 0, 0, 1, 15, 102
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1265, 0, 9, 87, 1361
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 4, 30, 69
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\landing\contact.scss", "SCSS", 0, 0, 0, 0, 0, 84, 0, 0, 1, 17, 102
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\landing\features.scss", "SCSS", 0, 0, 0, 0, 0, 87, 0, 0, 3, 15, 105
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\landing\hero.scss", "SCSS", 0, 0, 0, 0, 0, 104, 0, 0, 1, 17, 122
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\landing\pricing.scss", "SCSS", 0, 0, 0, 0, 0, 128, 0, 0, 1, 24, 153
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\navbar.scss", "SCSS", 0, 0, 0, 0, 0, 132, 0, 0, 1, 24, 157
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_category.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_restaurant.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_user.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\admin_panel.html", "HTML", 0, 0, 0, 71, 0, 0, 0, 0, 2, 4, 77
